 No       Lon.(X)        Lat.(Y)   Node(Cell)   Depth(Cell)             Station Name
  1 388650.947852 3945702.882051        20221         6.112                    Tokyo
  2 413510.243747 3936460.273314        17176        13.176                    Chiba
  3 376961.671688 3924254.829456         7421         8.377           Yokohamashinko
  4 385756.229234 3907991.928788        10175        24.139              Daini-Kaiho
  5 377366.031863 3905821.935357         5348         4.083                 Yokosuka
  6 383595.047821 3899052.839033         4891         6.619              Kyurihamako
