Node Number = 18824
398660.117504 3958907.797339 35.769005
398712.553439 3958833.505028 35.768341
398765.190716 3958917.663542 35.769105
398683.895214 3958769.873352 35.767764
398631.425765 3958819.695151 35.768208
398740.428736 3958760.561146 35.767686
398794.262659 3958825.439668 35.768276
398697.309574 3958708.610339 35.767213
398637.758547 3958726.995120 35.767373
398754.210291 3958691.844750 35.767068
398800.341263 3958734.093736 35.767454
398714.885894 3958644.308798 35.766635
398652.678765 3958658.078853 35.766753
398767.328695 3958636.828236 35.766573
398804.967581 3958666.666287 35.766846
398742.536268 3958583.920051 35.766094
398675.251770 3958586.570592 35.766111
398820.043426 3958597.401262 35.766223
398773.514373 3958525.276204 35.765568
398704.193432 3958513.135254 35.765452
398848.511278 3958522.508624 35.765551
398799.152685 3958470.726108 35.765079
398726.649158 3958463.965892 35.765011
398872.470830 3958474.908166 35.765125
398824.918421 3958422.130714 35.764644
398748.852070 3958415.567056 35.764577
398901.258850 3958429.112878 35.764715
398853.280382 3958375.220350 35.764224
398774.495683 3958367.249752 35.764144
398931.236457 3958383.732091 35.764309
398883.171848 3958328.942894 35.763810
398804.601022 3958320.153741 35.763722
398960.081319 3958338.383292 35.763903
398911.926669 3958282.279776 35.763392
398837.905231 3958273.888156 35.763309
398984.689276 3958293.831599 35.763504
398939.038790 3958230.951044 35.762932
398866.673561 3958227.681688 35.762895
399006.087713 3958250.135027 35.763112
398963.872202 3958174.242594 35.762424
398900.983294 3958157.535570 35.762266
399034.522009 3958181.832578 35.762499
398985.098479 3958113.040183 35.761874
398917.502962 3958111.961185 35.761857
399006.811500 3958058.159150 35.761382
399052.976900 3958113.670706 35.761887
398934.905273 3958038.374909 35.761196
398993.708030 3958007.094362 35.760920
399067.368841 3958018.615594 35.761031
399011.338296 3957953.986896 35.760443
398948.116219 3957966.335293 35.760548
399077.445724 3957948.589078 35.760401
399023.002079 3957889.602700 35.759864
398958.388880 3957893.684346 35.759894
399039.042314 3957837.949955 35.759400
399087.420604 3957878.225418 35.759768
398964.376626 3957825.180498 35.759277
399022.414032 3957787.759885 35.758946
399097.998247 3957808.981283 35.759145
399045.346168 3957733.915848 35.758463
398965.306799 3957732.771825 35.758444
399123.186795 3957736.982232 35.758498
399073.752811 3957669.416094 35.757884
398989.418330 3957667.583786 35.757859
399165.957038 3957663.915701 35.757844
399091.144261 3957613.626370 35.757383
399027.464262 3957600.472632 35.757258
399206.949589 3957594.338775 35.757221
399129.890103 3957577.635213 35.757062
399058.657077 3957556.692199 35.756866
399232.768936 3957549.046602 35.756815
399165.623431 3957526.588573 35.756606
399091.009239 3957510.649704 35.756455
399272.884271 3957479.197659 35.756190
399207.632745 3957465.849375 35.756063
399252.633966 3957417.387831 35.755630
399125.489952 3957462.011775 35.756020
399323.233694 3957415.395267 35.755620
399263.023188 3957365.633016 35.755165
399196.395938 3957360.863810 35.755115
399377.451678 3957352.516270 35.755058
399309.968369 3957322.599572 35.754782
399359.350840 3957278.500340 35.754389
399232.883990 3957311.918616 35.754678
399430.466406 3957288.687198 35.754488
399375.000941 3957217.064704 35.753837
399303.866817 3957211.633929 35.753781
399496.523627 3957194.273960 35.753644
399424.005941 3957169.605605 35.753414
399473.883453 3957119.405405 35.752967
399357.314718 3957136.896455 35.753113
399549.995487 3957112.181925 35.752910
399488.045711 3957059.659609 35.752430
399410.846512 3957061.305918 35.752437
399541.203305 3957019.504464 35.752073
399611.305608 3957027.236367 35.752150
399589.370489 3956975.231240 35.751679
399464.299803 3956985.900368 35.751762
399544.202756 3956956.817287 35.751508
399659.806507 3956956.142811 35.751514
399590.334273 3956916.455302 35.751149
399640.249477 3956886.495592 35.750884
399535.805893 3956886.995092 35.750878
399709.417276 3956891.413404 35.750936
399669.118794 3956831.416625 35.750391
399572.570517 3956837.049824 35.750432
399760.283248 3956835.059146 35.750433
399708.708746 3956774.602684 35.749883
399623.483510 3956763.879100 35.749777
399805.440301 3956774.967393 35.749896
399735.868981 3956721.935404 35.749411
399658.057624 3956720.358486 35.749388
399851.688845 3956730.217749 35.749497
399799.206355 3956684.501837 35.749080
399707.931883 3956655.246617 35.748807
399889.794031 3956691.930235 35.749156
399907.277011 3956618.841870 35.748499
399841.208304 3956620.391886 35.748506
399762.512116 3956596.823616 35.748285
399966.007124 3956633.180452 35.748634
399952.454663 3956581.670980 35.748168
399886.920925 3956567.035795 35.748030
399801.539355 3956563.217972 35.747987
400005.626204 3956606.370030 35.748396
400006.076813 3956544.402729 35.747838
399942.819910 3956520.195018 35.747613
399876.226332 3956497.897084 35.747405
400064.237813 3956572.149922 35.748094
400067.693282 3956508.929268 35.747524
400122.246622 3956471.529335 35.747193
400003.629023 3956477.101209 35.747231
399931.611680 3956453.062301 35.747007
400141.153865 3956550.906701 35.747910
400198.586418 3956446.389249 35.746974
400068.815583 3956437.485730 35.746880
400134.983983 3956413.935732 35.746675
400004.756864 3956398.532256 35.746523
400296.865481 3956489.530854 35.747373
400290.580972 3956393.045121 35.746502
400205.687570 3956359.387775 35.746190
400079.583701 3956354.886624 35.746137
400366.239377 3956340.907175 35.746040
400373.524321 3956430.267048 35.746846
400302.582672 3956291.788675 35.745591
400394.873768 3956249.611026 35.745220
400227.807694 3956256.281301 35.745263
400469.635172 3956339.824047 35.746041
400471.041100 3956220.433779 35.744964
400429.437621 3956153.212831 35.744354
400330.306660 3956151.499704 35.744329
400503.252185 3956154.278248 35.744371
400558.006757 3956205.242782 35.744836
400482.379700 3956072.674799 35.743634
400394.772331 3956070.779456 35.743608
400575.395739 3956119.827035 35.744068
