Edogawa,Nakagawa_Arakawa,Sumidagawa,Tamagawa,Tsurumigawa,Ebigawa
139.880,139.821,139.815,139.703,139.678,139.989
35.7700,35.7444,35.7370,35.5368,35.5146,35.6920
