 No       Lon.(X)        Lat.(Y)   Node(Cell)   Depth(Cell)             Station Name
  1 388650.947852 3945702.882051          706         6.059                    Tokyo
  2 413510.243747 3936460.273314         3931        12.990                    Chiba
  3 376961.671688 3924254.829456         3281         7.729           Yokohamashinko
  4 385756.229234 3907991.928788         8881        22.964              Daini-Kaiho
  5 377366.031863 3905821.935357         6213         5.654                 Yokosuka
  6 383595.047821 3899052.839033         9306        19.511              Kyurihamako
